Section,Field Key,Question/Label,Type
General Information,sleepIssues,"Do you have any issues with sleeping?",yesno
General Information,sleepHours,"How many hours do you typically sleep each night?",text
General Information,reliableVehicle,"Do you have a reliable vehicle to drive?",yesno
General Information,autoInsurance,"Do you have automobile insurance?",yesno
General Information,validLicense,"Do you have a valid driver's license?",yesno
General Information,partnerFdaTests,"Will your partner submit to the FDA required lab tests?",yesno
General Information,divorcedRelationship,"Relationship with other parent (if divorced/separated)",textarea
Health Information,mentalHealthDiagnosis,"Have you ever been diagnosed with any mental health challenge?",yesno
Health Information,mentalHealthDiagnosisDetails,"Please provide details",textarea
Health Information,mentalHealthHospitalization,"Have you ever been hospitalized for a mental health challenge?",yesno
Health Information,mentalHealthHospitalizationDetails,"Please provide details",textarea
Health Information,mentalHealthMedication,"Do you currently or have you ever taken medication for a mental health challenge?",yesno
Health Information,mentalHealthMedicationDetails,"Please provide details",textarea
Health Information,counselingTherapy,"Are you currently or have you ever participated in counseling or psychotherapy?",yesno
Health Information,counselingTherapyDetails,"Please provide details",textarea
Health Information,familyMentalHealth,"Has anyone in your family ever had a mental health challenge?",yesno
Health Information,familyMentalHealthDetails,"Please provide details",textarea
Health Information,domesticViolence,"Were you ever involved in a relationship where you experienced domestic violence?",yesno
Health Information,domesticViolenceDetails,"Please provide details",textarea
Health Information,openToVaccinations,"Are you open to being vaccinated if required for the surrogacy process?",yesno
Health Information,covidVaccine,"Have you received the Covid-19 vaccination?",yesno
Health Information,covidVaccineWilling,"Are you willing to receive the vaccination if recommended?",yesno
Health Information,hadCovid,"Have you had Covid-19 before?",yesno
Health Information,covidBooster,"Have you received the booster?",yesno
Health Information,covidBoosterWilling,"Are you comfortable getting the booster if requested?",yesno
Health Information,allergies,"Do you currently have any allergies?",yesno
Health Information,allergyDetails,"Please list allergies",textarea
Health Information,medicalConditions,"Do you currently have any medical conditions?",yesno
Health Information,medicalConditionDetails,"Please provide details",textarea
Health Information,lastPhysical,"When was your last annual physical?",text
Health Information,lastPap,"Most recent Pap and results",text
Health Information,surgeries,"Hospitalization/surgery history over past 5 years",textarea
Health Information,diseaseHistory,"Health conditions history (checklist)",checkboxGroup
Health Information,nonPrescriptionMeds,"Non-prescription medication use",textarea
Health Information,prescriptionMeds,"Prescription medications taken in the past 5 years",textarea
Health Information,currentMeds,"Current medications and supplements",textarea
Employment Information,currentlyEmployed,"Are you currently employed?",yesno
Employment Information,employmentIndustry,"What industry do you work in?",text
Employment Information,workHours,"How many hours a week do you work?",text
Employment Information,occupation,"What is your occupation/position?",text
Employment Information,lengthAtEmployer,"How long have you worked for your current employer?",text
Employment Information,hourlyRate,"What is your earned hourly rate?",currency
Employment Information,weeklyIncome,"What is your approximate weekly income?",currency
Employment Information,partnerOccupation,"Spouse/partner's occupation",text
Employment Information,partnerWeeklyIncome,"Spouse/partner's approximate weekly income",currency
Employment Information,healthInsurance,"Do you have health insurance coverage?",yesno
Employment Information,insuranceType,"Is it a private/personal policy or through an employer?",text
Employment Information,governmentAssistance,"Do you receive any government assistance?",yesno
Employment Information,governmentAssistanceDetails,"Please provide details",textarea
Interests,favoriteMusic,Favorite music,text
Interests,favoriteMovie,Favorite movie,text
Interests,favoriteBook,Favorite book,text
Interests,favoriteFoods,Favorite foods,text
Interests,favoriteColor,Favorite color,text
Interests,favoriteFlower,Favorite flower,text
Interests,pets,"Do you have any pets?",textarea
Interests,hobbies,"What do you like to do in your free time?",textarea
Interests,collections,"Do you collect anything special?",text
Interests,dreamTravel,"Where would you most like to travel and why?",textarea
Interests,personality,"How would you describe yourself and your personality?",textarea
Academic Information,educationLevel,"Highest level of education",text
Academic Information,currentlyInSchool,"Are you currently in school?",yesno
Academic Information,currentlyInSchoolDetails,"Please provide details",text
Experienced Surrogate Info,previousSurrogate,"Have you ever been a surrogate before?",yesno
Experienced Surrogate Info,surrogacyTimes,"How many times?",number
Experienced Surrogate Info,journeys[].reName,RE Doctor Name,text
Experienced Surrogate Info,journeys[].reLocation,RE Location,text
Experienced Surrogate Info,journeys[].reDates,RE Dates,text
Experienced Surrogate Info,journeys[].outcome,Pregnancy outcome,text
Experienced Surrogate Info,journeys[].weeksDelivered,Weeks when delivered,text
Experienced Surrogate Info,journeys[].transfers,How many transfers until pregnant?,text
Experienced Surrogate Info,journeys[].embryoSource,Embryo source,text
Experienced Surrogate Info,journeys[].complications,Complications or details,textarea
Experienced Surrogate Info,journeys[].unsuccessfulCycles,Any unsuccessful cycles?,textarea
Experienced Surrogate Info,overallExperience,Overall surrogacy experience,textarea
Journey Hopes & Wishes,reasonForSurrogacy,"Why do you want to become a surrogate?",textarea
Journey Hopes & Wishes,compensationUse,"How do you plan to use the money?",textarea
Journey Hopes & Wishes,surrogacyFit,"How do you see surrogacy fitting into your life?",textarea
Journey Hopes & Wishes,supportSystem,"Who will be your resource to help with your children?",textarea
Journey Hopes & Wishes,threeTransferAttempts,"Are you willing to have 3 transfer attempts?",yesno
Journey Hopes & Wishes,reduceCaffeine,"Are you willing to reduce the amount of caffeine?",yesno
Journey Hopes & Wishes,lifestyleChanges,"Are you open to making other lifestyle changes at IP request?",yesno
Journey Hopes & Wishes,pumpBreastmilk,"Are you open to pumping colostrum and breast milk?",yesno
Journey Hopes & Wishes,idealIPs,"Describe your ideal intended parent(s)",textarea
Journey Hopes & Wishes,preferredCommunication,"What is the best form of communication for you?",select
Journey Hopes & Wishes,ipInvolvement,"How much involvement from the Intended Parents during pregnancy?",textarea
Journey Hopes & Wishes,ipsAtAppointments,"Would you be willing to have the IPs at doctor appointments and delivery?",yesno
Journey Hopes & Wishes,deliveryRoomOthers,"Is there anyone else you would like to have in the delivery room?",textarea
Journey Hopes & Wishes,ipsCantAttend,"How do you feel about IPs who cannot attend regularly?",textarea
Journey Hopes & Wishes,childCareTraveling,"Who will care for your child(ren) when you need to travel?",textarea
Journey Hopes & Wishes,ipsWithChildren,"Are you willing to match with IPs who already have children?",yesno
Journey Hopes & Wishes,openLGBTQ,"Are you open to matching with LGBTQ+ individuals/couples?",yesno
Journey Hopes & Wishes,openSingleIP,"Are you willing to match with a single Intended Parent?",yesno
Journey Hopes & Wishes,transferAnotherState,"Are you willing to have the embryo transfer in another state?",yesno
Journey Hopes & Wishes,ipsOutsideUS,"Are you willing to match with IPs who live outside of the U.S.?",yesno
Journey Hopes & Wishes,whenReadyToBegin,"When are you ready to begin?",text
Journey Hopes & Wishes,postBirthRelationship,"Ideal relationship with IP(s) post birth",textarea
Journey Hopes & Wishes,cvsAmnio,"Would you be willing to undergo CVS/amniocentesis if recommended?",yesno
Journey Hopes & Wishes,willingnessToTerminate,"Willingness to terminate for a serious genetic or medical condition?",textarea
Journey Hopes & Wishes,partnerAgreesTermination,"Would your partner agree and support the decision for termination?",yesno
Journey Hopes & Wishes,conditionsWontTerminate,"Are there any conditions where you would not terminate?",textarea
Journey Hopes & Wishes,embryosToTransfer,"How many embryos are you in agreement to transfer at a time?",select
Journey Hopes & Wishes,carryTwins,"If the embryo splits into twins are you willing to carry twins?",yesno
Journey Hopes & Wishes,desiredCompensation,Surrogate base fee,currency
Journey Hopes & Wishes,compensationNegotiable,"Is this negotiable?",yesno
Journey Hopes & Wishes,additionalComments,"Message to potential Intended Parent(s)",textarea
